headline,label,category,explanation_tokens
Government Releases Report on Research,0,none,
Survey Reveals Trends in Students for 2024,0,none,
Doctors Hate This Simple Education Trick!,1,curiosity_gap,Technology|Mobile
10 Research Secrets the Experts Don’t Want You to Know!,1,shock_value,Environment|Kerala
Scientists Discover New Method to Improve AI,0,none,
Health Department Introduces Updated Guidelines,0,none,
Researchers Find Correlation Between AI and Startup,0,none,
This Technology Hack Will Change Your Life Forever!,1,misleading_number,Engineers|Kerala
People Are Freaking Out About This Startup Discovery!,1,emotional,Students|Kerala
These Finance Facts Will Shock You!,1,misleading_number,Education|Water
This One Students Mistake Could Ruin Everything!,1,shock_value,Startup|Health
This One Technology Mistake Could Ruin Everything!,1,emotional,Research|Engineers
Doctors Hate This Simple Environment Trick!,1,emotional,Water|Health
Environment Announces New Policy for 2025,0,none,
10 Mobile Secrets the Experts Don’t Want You to Know!,1,exaggeration,AI|Engineers
This Engineers Hack Will Change Your Life Forever!,1,curiosity_gap,Finance|Startup
Research Department Introduces Updated Guidelines,0,none,
These Kerala Facts Will Shock You!,1,exaggeration,Environment|Students
Doctors Hate This Simple Health Trick!,1,curiosity_gap,Water|Startup
These Health Facts Will Shock You!,1,shock_value,Finance|Technology
Scientists Discover New Method to Improve Engineers,0,none,
This One Engineers Mistake Could Ruin Everything!,1,emotional,Health|Students
Scientists Discover New Method to Improve Engineers,0,none,
This Education Hack Will Change Your Life Forever!,1,emotional,Kerala|Health
Scientists Discover New Method to Improve Technology,0,none,
Engineers Announces New Policy for 2025,0,none,
10 Environment Secrets the Experts Don’t Want You to Know!,1,shock_value,Technology|AI
10 Environment Secrets the Experts Don’t Want You to Know!,1,emotional,Research|Water
Doctors Hate This Simple Engineers Trick!,1,misleading_number,Finance|Technology
This One Water Mistake Could Ruin Everything!,1,shock_value,Kerala|Startup
People Are Freaking Out About This Environment Discovery!,1,emotional,AI|Finance
This Technology Hack Will Change Your Life Forever!,1,exaggeration,Startup|Environment
These Students Facts Will Shock You!,1,emotional,Technology|Health
These Education Facts Will Shock You!,1,emotional,Startup|Research
AI Announces New Policy for 2025,0,none,
This One Technology Mistake Could Ruin Everything!,1,curiosity_gap,Technology|Environment
Study Shows Increase in Health Over Last Decade,0,none,
How This Environment Girl Became Famous Overnight!,1,shock_value,Health|Engineers
People Are Freaking Out About This AI Discovery!,1,curiosity_gap,Technology|Students
These Technology Facts Will Shock You!,1,shock_value,Startup|Students
Scientists Discover New Method to Improve Education,0,none,
10 Research Secrets the Experts Don’t Want You to Know!,1,exaggeration,Education|Technology
These Mobile Facts Will Shock You!,1,emotional,Water|Research
